0,250,500,750,1000,1250
1500,1750,2000,2250,2500,2750
1,251,501,751,1001,1251
1501,1751,2001,2251,2501,2751
2,252,502,752,1002,1252
1502,1752,2002,2252,2502,2752
3,253,503,753,1003,1253
1503,1753,2003,2253,2503,2753
4,254,504,754,1004,1254
1504,1754,2004,2254,2504,2754
5,255,505,755,1005,1255
1505,1755,2005,2255,2505,2755
6,256,506,756,1006,1256
1506,1756,2006,2256,2506,2756
7,257,507,757,1007,1257
1507,1757,2007,2257,2507,2757
8,258,508,758,1008,1258
1508,1758,2008,2258,2508,2758
9,259,509,759,1009,1259
1509,1759,2009,2259,2509,2759
10,260,510,760,1010,1260
1510,1760,2010,2260,2510,2760
11,261,511,761,1011,1261
1511,1761,2011,2261,2511,2761
12,262,512,762,1012,1262
1512,1762,2012,2262,2512,2762
13,263,513,763,1013,1263
1513,1763,2013,2263,2513,2763
14,264,514,764,1014,1264
1514,1764,2014,2264,2514,2764
15,265,515,765,1015,1265
1515,1765,2015,2265,2515,2765
16,266,516,766,1016,1266
1516,1766,2016,2266,2516,2766
17,267,517,767,1017,1267
1517,1767,2017,2267,2517,2767
18,268,518,768,1018,1268
1518,1768,2018,2268,2518,2768
19,269,519,769,1019,1269
1519,1769,2019,2269,2519,2769
20,270,520,770,1020,1270
1520,1770,2020,2270,2520,2770
21,271,521,771,1021,1271
1521,1771,2021,2271,2521,2771
22,272,522,772,1022,1272
1522,1772,2022,2272,2522,2772
23,273,523,773,1023,1273
1523,1773,2023,2273,2523,2773
24,274,524,774,1024,1274
1524,1774,2024,2274,2524,2774
25,275,525,775,1025,1275
1525,1775,2025,2275,2525,2775
26,276,526,776,1026,1276
1526,1776,2026,2276,2526,2776
27,277,527,777,1027,1277
1527,1777,2027,2277,2527,2777
28,278,528,778,1028,1278
1528,1778,2028,2278,2528,2778
29,279,529,779,1029,1279
1529,1779,2029,2279,2529,2779
30,280,530,780,1030,1280
1530,1780,2030,2280,2530,2780
31,281,531,781,1031,1281
1531,1781,2031,2281,2531,2781
32,282,532,782,1032,1282
1532,1782,2032,2282,2532,2782
